Configuração,Seed,Fold,Acc,Prec,Rec,F1,ROC_AUC,Arquivo
Vgg_AUG_CV_DatasetSeg2classes_17_01,12,0,0.88,0.7826,0.9474,0.8571,0.9745,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,13,0,0.8367,0.7778,0.7778,0.7778,0.9283,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,14,0,0.8235,0.7083,0.8947,0.7907,0.8865,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,15,0,0.8958,0.8,0.9412,0.8649,0.9184,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,16,0,0.8235,0.75,0.7895,0.7692,0.9243,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,17,0,0.9,0.8889,0.8421,0.8649,0.9355,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,18,0,0.8824,0.8095,0.8947,0.85,0.9342,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,19,0,0.9583,0.8947,1.0,0.9444,0.9753,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,20,0,0.8511,0.75,0.8,0.7742,0.8938,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,21,0,0.7917,0.6364,0.875,0.7368,0.9277,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,22,0,0.7647,0.8125,0.5909,0.6842,0.8824,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,23,0,0.8571,0.7778,0.8235,0.8,0.9191,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,24,0,0.9167,0.8421,0.9412,0.8889,0.9867,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,25,0,0.8824,0.8182,0.9,0.8571,0.9419,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,26,0,0.8846,0.8077,0.9545,0.875,0.9485,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,27,0,0.8235,0.8235,0.7,0.7568,0.8984,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,28,0,0.8125,0.8333,0.5882,0.6897,0.8956,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSeg2classes_17_01,29,0,0.7917,0.7692,0.5882,0.6667,0.8577,./eval_results/DatasetSeg2classes_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,0,0,0.8163,0.7143,0.8333,0.7692,0.8943,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,1,0,0.9,0.8947,0.85,0.8718,0.9517,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,2,0,0.8627,0.7826,0.9,0.8372,0.9113,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,3,0,0.8776,0.8824,0.7895,0.8333,0.9509,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,4,0,0.8163,0.75,0.7895,0.7692,0.8772,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,5,0,0.8333,0.8,0.7059,0.75,0.8824,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,6,0,0.8627,1.0,0.65,0.7879,0.929,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,7,0,0.7755,0.9,0.4737,0.6207,0.8895,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,8,0,0.8571,0.8571,0.7059,0.7742,0.9669,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,9,0,0.8235,0.7391,0.85,0.7907,0.9484,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,10,0,0.94,0.9444,0.8947,0.9189,0.9576,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,11,0,0.86,0.8421,0.8,0.8205,0.9383,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,12,0,0.7347,0.6316,0.6667,0.6486,0.8405,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,13,0,0.75,0.6667,0.5882,0.625,0.888,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,14,0,0.74,0.619,0.7222,0.6667,0.8594,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,15,0,0.74,0.6667,0.5556,0.6061,0.8576,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,16,0,0.7959,0.7222,0.7222,0.7222,0.8315,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,17,0,0.8654,0.8421,0.8,0.8205,0.9312,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,18,0,0.8125,0.7059,0.75,0.7273,0.9258,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,19,0,0.9412,0.9412,0.8889,0.9143,0.9781,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,20,0,0.8431,0.9286,0.65,0.7647,0.8242,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,21,0,0.8,0.7647,0.6842,0.7222,0.9032,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,22,0,0.8367,0.7143,0.8824,0.7895,0.9026,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,23,0,0.8235,0.7273,0.8421,0.7805,0.9062,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,24,0,0.8,0.6667,0.8235,0.7368,0.8681,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,25,0,0.8571,0.7727,0.8947,0.8293,0.9474,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,26,0,0.8333,0.8,0.7059,0.75,0.9108,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,27,0,0.7959,0.7059,0.7059,0.7059,0.9026,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,28,0,0.898,0.9286,0.7647,0.8387,0.8824,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSegYolo_09_01,29,0,0.8302,0.8095,0.7727,0.7907,0.9106,./eval_results/DatasetSegYolo_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,0,0,0.7959,0.7,0.7778,0.7368,0.8781,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,1,0,0.84,0.8571,0.6667,0.75,0.9549,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,2,0,0.78,0.7368,0.7,0.7179,0.895,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,3,0,0.7551,0.6875,0.6111,0.6471,0.8351,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,4,0,0.8846,0.8696,0.8696,0.8696,0.967,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,5,0,0.8824,0.85,0.85,0.85,0.9597,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,6,0,0.84,0.8235,0.7368,0.7778,0.8574,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,7,0,0.8333,0.75,0.75,0.75,0.916,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,8,0,0.78,0.75,0.7143,0.7317,0.8916,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,9,0,0.7917,0.6818,0.8333,0.75,0.9111,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,10,0,0.7755,0.64,0.8889,0.7442,0.8835,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,11,0,0.8269,0.8333,0.7143,0.7692,0.9263,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,12,0,0.9,0.8571,0.9,0.878,0.965,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,13,0,0.84,0.8,0.8,0.8,0.9183,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,14,0,0.8431,0.7647,0.7647,0.7647,0.9031,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,15,0,0.7917,0.7692,0.5882,0.6667,0.8311,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,16,0,0.898,0.8421,0.8889,0.8649,0.9552,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,17,0,0.8039,0.7143,0.7895,0.75,0.8651,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,18,0,0.8776,0.8824,0.7895,0.8333,0.9316,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,19,0,0.8298,0.6364,1.0,0.7778,0.9307,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,20,0,0.78,0.7222,0.6842,0.7027,0.8998,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,21,0,0.7755,0.6842,0.7222,0.7027,0.8781,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,22,0,0.88,0.8947,0.8095,0.85,0.9261,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,23,0,0.8163,0.8,0.6667,0.7273,0.9247,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,24,0,0.8511,0.8333,0.6667,0.7407,0.8917,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,25,0,0.8,0.9167,0.55,0.6875,0.8167,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,26,0,0.8571,0.7143,0.9375,0.8108,0.9451,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,27,0,0.7959,0.7059,0.7059,0.7059,0.9044,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,28,0,0.8542,0.8571,0.7059,0.7742,0.926,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetSemMarcador_09_01,29,0,0.7647,0.6538,0.85,0.7391,0.8742,./eval_results/DatasetSemMarcador_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,0,0,0.92,0.8947,0.8947,0.8947,0.9576,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,1,0,0.8367,0.75,0.8333,0.7895,0.9211,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,2,0,0.8113,0.8333,0.6818,0.75,0.9003,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,3,0,0.8367,0.7273,0.8889,0.8,0.9391,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,4,0,0.8039,0.8,0.7273,0.7619,0.9232,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,5,0,0.8235,0.75,0.7895,0.7692,0.898,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,6,0,0.8542,0.7778,0.8235,0.8,0.9526,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,7,0,0.7959,0.7692,0.5882,0.6667,0.9301,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,8,0,0.8125,0.7857,0.6471,0.7097,0.9279,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,9,0,0.8571,0.7391,0.9444,0.8293,0.9337,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,10,0,0.88,0.8421,0.8421,0.8421,0.961,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,11,0,0.9,0.875,0.8235,0.8485,0.9661,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,12,0,0.8235,0.7273,0.8421,0.7805,0.9309,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,13,0,0.8,0.7273,0.8,0.7619,0.8983,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,14,0,0.898,0.8333,0.8824,0.8571,0.9375,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,15,0,0.8542,0.7895,0.8333,0.8108,0.9296,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,16,0,0.84,0.8235,0.7368,0.7778,0.9202,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,17,0,0.9167,0.875,0.875,0.875,0.9492,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,18,0,0.8235,0.7273,0.8421,0.7805,0.8997,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,19,0,0.8163,0.75,0.7895,0.7692,0.9368,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,20,0,0.92,0.8947,0.8947,0.8947,0.9796,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,21,0,0.8958,0.7895,0.9375,0.8571,0.9785,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,22,0,0.8302,0.8182,0.7826,0.8,0.9377,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,23,0,0.8235,0.7083,0.8947,0.7907,0.9293,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,24,0,0.9423,0.95,0.9048,0.9268,0.9846,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,25,0,0.88,0.9412,0.7619,0.8421,0.9655,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,26,0,0.8431,0.8,0.8,0.8,0.9532,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,27,0,0.84,0.7407,0.9524,0.8333,0.9458,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,28,0,0.7755,0.64,0.8889,0.7442,0.9176,./eval_results/DatasetTagFixedTam_per_run.csv
Vgg_AUG_CV_DatasetTagFixedTam_09_01,29,0,0.8824,0.8182,0.9,0.8571,0.9548,./eval_results/DatasetTagFixedTam_per_run.csv
